County,avg_cost_per_marker,SourceCounty
Alpena,815.5,Presque Isle
Cheboygan,703.96,Presque Isle
Chippewa,762.47,Presque Isle
Delta,517.57,Presque Isle
Dickinson,554.11,Presque Isle
Gladwin,759.68,Presque Isle
Luce,820.26,Presque Isle
Mackinac,852.37,Presque Isle
Marquette,1321.73,Presque Isle
Roscommon,802.46,Presque Isle
Roscommon,802.46,Roscommon
Alpena,815.5,Roscommon
Charlevoix,1410.45,Roscommon
Cheboygan,703.96,Roscommon
Chippewa,762.47,Roscommon
Delta,517.57,Roscommon
Dickinson,554.11,Roscommon
Gladwin,759.68,Roscommon
Mackinac,852.37,Roscommon
Marquette,1321.73,Roscommon
Presque Isle,679.8,Roscommon
Saginaw,1017.52,Saginaw
Allegan,751.4,Saginaw
Berrien,1208.9,Saginaw
Clinton,938.03,Saginaw
Eaton,787.96,Saginaw
Grand Traverse,836.55,Saginaw
Ionia,820.09,Saginaw
Lenawee,880.36,Saginaw
Monroe,1095.1,Saginaw
Shiawassee,848.71,Saginaw
St. Clair,1678.03,Saginaw
Sanilac,831.49,Sanilac
Crawford,833.81,Sanilac
Gratiot,781.18,Sanilac
Hillsdale,922.74,Sanilac
Huron,830.78,Sanilac
Ionia,820.09,Sanilac
Lenawee,880.36,Sanilac
Oscoda,552.25,Sanilac
Otsego,766.63,Sanilac
Tuscola,894.46,Sanilac
Wexford,744.18,Sanilac
Schoolcraft,790.13,Schoolcraft
Alpena,815.5,Schoolcraft
Cheboygan,703.96,Schoolcraft
Chippewa,762.47,Schoolcraft
Delta,517.57,Schoolcraft
Dickinson,554.11,Schoolcraft
Luce,820.26,Schoolcraft
Mackinac,852.37,Schoolcraft
Marquette,1321.73,Schoolcraft
Presque Isle,679.8,Schoolcraft
Roscommon,802.46,Schoolcraft
Shiawassee,848.71,Shiawassee
Clinton,938.03,Shiawassee
Eaton,787.96,Shiawassee
Gratiot,781.18,Shiawassee
Hillsdale,922.74,Shiawassee
Ionia,820.09,Shiawassee
Lake,574.48,Shiawassee
Lapeer,977.09,Shiawassee
Lenawee,880.36,Shiawassee
Oceana,642.63,Shiawassee
Wexford,744.18,Shiawassee
St. Clair,1678.03,St. Clair
Allegan,751.4,St. Clair
Clinton,938.03,St. Clair
Eaton,787.96,St. Clair
Grand Traverse,836.55,St. Clair
Ionia,820.09,St. Clair
Isabella,728.87,St. Clair
Lapeer,977.09,St. Clair
Saginaw,1017.52,St. Clair
Shiawassee,848.71,St. Clair
St. Joseph,927.18,St. Clair
St. Joseph,927.18,St. Joseph
Allegan,751.4,St. Joseph
Branch,832.06,St. Joseph
Cass,966.94,St. Joseph
Isabella,728.87,St. Joseph
Lapeer,977.09,St. Joseph
Leelanau,801.3,St. Joseph
Manistee,621.82,St. Joseph
Mecosta,525.52,St. Joseph
Newaygo,692.39,St. Joseph
Oceana,642.63,St. Joseph
Tuscola,894.46,Tuscola
Crawford,833.81,Tuscola
Gratiot,781.18,Tuscola
Hillsdale,922.74,Tuscola
Huron,830.78,Tuscola
Ionia,820.09,Tuscola
Lake,574.48,Tuscola
Lenawee,880.36,Tuscola
Sanilac,831.49,Tuscola
Shiawassee,848.71,Tuscola
Wexford,744.18,Tuscola
Van Buren,1189.7,Van Buren
Allegan,751.4,Van Buren
Barry,645.22,Van Buren
Branch,832.06,Van Buren
Calhoun,776.95,Van Buren
Cass,966.94,Van Buren
Isabella,728.87,Van Buren
Lapeer,977.09,Van Buren
Mecosta,525.52,Van Buren
Montcalm,760.74,Van Buren
St. Joseph,927.18,Van Buren
Washtenaw,1373.27,Washtenaw
Allegan,751.4,Washtenaw
Berrien,1208.9,Washtenaw
Eaton,787.96,Washtenaw
Genesee,1439.92,Washtenaw
Grand Traverse,836.55,Washtenaw
Ingham,1029.19,Washtenaw
Kalamazoo,1189.2,Washtenaw
Monroe,1095.1,Washtenaw
Saginaw,1017.52,Washtenaw
St. Clair,1678.03,Washtenaw
Wayne,4110.19,Wayne
Berrien,1208.9,Wayne
Genesee,1439.92,Wayne
Grand Traverse,836.55,Wayne
Ingham,1029.19,Wayne
Kalamazoo,1189.2,Wayne
Macomb,2992.47,Wayne
Monroe,1095.1,Wayne
Saginaw,1017.52,Wayne
St. Clair,1678.03,Wayne
Washtenaw,1373.27,Wayne
Wexford,744.18,Wexford
Clinton,938.03,Wexford
Crawford,833.81,Wexford
Gratiot,781.18,Wexford
Hillsdale,922.74,Wexford
Ionia,820.09,Wexford
Lake,574.48,Wexford
Lenawee,880.36,Wexford
Oceana,642.63,Wexford
Shiawassee,848.71,Wexford
Tuscola,894.46,Wexford
