OBJECTID_1 *,Shape *,OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,CNTY_CODE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area,Sum ACRES,Summarized Area in ACRES,Count of Polygons,wetlandd
66,Polygon,66,131,131,Ontonagon,Ontonagon County,County,131,3439.035,1327.813,849794.864,17A,landscape,upper,7299790616,433515.391,297521.0938,3439034837,90573.21833,90573.2621,14511,0.106583
67,Polygon,67,133,133,Osceola,Osceola County,County,133,1482.812,572.514,366406.973,17A,portrait,lower,2867646902,214168.4829,154002.2021,1482812377,59702.3712,59702.3792,24867,0.16294
68,Polygon,68,135,135,Oscoda,Oscoda County,County,135,1479.527,571.246,365595.125,17A,portrait,lower,2928271528,216585.1803,153950.352,1479526913,32669.82459,32669.82442,7043,0.089361
69,Polygon,69,137,137,Otsego,Otsego County,County,137,1362.065,525.894,336569.861,17A,landscape,lower,2727835409,217038.7857,153356.5232,1362064569,40581.81907,40581.83684,4058,0.120575
70,Polygon,70,139,139,Ottawa,Ottawa County,County,139,1493.554,576.662,369061.218,17A,portrait,lower,2791595950,235620.7415,172258.1639,1493553842,39878.9904,39878.66744,11329,0.108054
71,Polygon,71,141,141,Presque Isle,Presque Isle County,County,141,1773.714,684.832,438289.663,17A,landscape,lower,3590630295,344412.9064,242076.135,1773714436,159602.6967,159602.6425,6753,0.364149
72,Polygon,72,143,143,Roscommon,Roscommon County,County,143,1501.203,579.615,370951.379,17A,landscape,lower,2936944944,215770.388,154264.0414,1501203136,134015.9442,134015.9346,7605,0.361276
73,Polygon,73,145,145,Saginaw,Saginaw County,County,145,2111.864,815.391,521847.242,17A,landscape,lower,3996290875,283572.876,206141.9672,2111863605,48881.39112,48881.37032,10268,0.09367
74,Polygon,74,147,147,St. Clair,St. Clair County,County,147,1903.285,734.859,470306.821,17A,portrait,lower,3553998842,536617.5053,393744.6021,1903284674,60955.45842,60955.22215,16986,0.129607
75,Polygon,75,149,149,St. Joseph,St. Joseph County,County,149,1348.762,520.758,333282.825,17A,landscape,lower,2438710524,204069.65,151800.5812,1348762263,47450.01601,47450.01618,7402,0.142372
76,Polygon,76,151,151,Sanilac,Sanilac County,County,151,2496.546,963.917,616903.275,17A,portrait,lower,4735504389,300689.9523,218322.1232,2496545862,47217.91856,47217.91917,8413,0.07654
77,Polygon,77,153,153,Schoolcraft,Schoolcraft County,County,153,3162.116,1220.894,781367.466,17A,portrait,upper,6603304064,437922.6446,303239.8706,3162115998,423539.2437,423539.2667,10036,0.542049
78,Polygon,78,155,155,Shiawassee,Shiawassee County,County,155,1399.981,540.533,345939.226,17A,portrait,lower,2616734849,205289.0049,150145.3341,1399981452,38841.89889,38841.90216,10044,0.11228
79,Polygon,79,157,157,Tuscola,Tuscola County,County,157,2107.647,813.763,520805.19,17A,portrait,lower,4004307705,327788.777,237640.4486,2107646521,48663.65378,48663.64705,9942,0.093439
80,Polygon,80,159,159,Van Buren,Van Buren County,County,159,1613.374,622.924,398669.205,17A,landscape,lower,2947666327,232639.5424,172150.3178,1613374407,67153.94482,67153.9423,16242,0.168445
81,Polygon,81,161,161,Washtenaw,Washtenaw County,County,161,1869.63,721.865,461990.608,17A,landscape,lower,3417434378,236902.9652,175261.1311,1869629792,59389.50522,59389.50639,25444,0.128551
82,Polygon,82,163,163,Wayne,Wayne County,County,163,1664.132,642.522,411211.496,17A,landscape,lower,3043911812,270287.7262,199903.0017,1664131805,37350.16547,37350.03042,8786,0.090829
83,Polygon,83,165,165,Wexford,Wexford County,County,165,1489.144,574.959,367971.502,17A,landscape,lower,2913879272,216458.0537,154741.2265,1489143871,39829.15499,39829.1585,7234,0.10824
